subject_id,site,dsc,raw_predicted_voxels,predicted_voxels,reference_voxels,intersection,lesion_count,predicted_volume_mm3,reference_volume_mm3,voxel_volume_mm3,max_wmh_probability,prediction_threshold,false_positive_voxels,false_negative_voxels,predicted_reference_ratio
Amsterdam_GE3T_111,Amsterdam,0.27572,38533,37742,6281,6069,23,132692,22082.5,3.51576,0.997161,0.65,31673,212,6.00892
Singapore_70,Singapore,0.207884,20245,19258,2456,2257,46,57774,7368,3,0.997348,0.65,17001,199,7.84121
Amsterdam_GE3T_117,Amsterdam,0.592816,24920,24103,13342,11099,31,84740.4,46907.3,3.51576,0.997161,0.65,13004,2243,1.80655
Singapore_71,Singapore,0.455053,24993,23935,8281,7330,47,71804.9,24843,3,0.997348,0.65,16605,951,2.89035
Amsterdam_GE3T_118,Amsterdam,0.0387363,26675,25490,687,507,56,89616.7,2415.33,3.51576,0.997101,0.65,24983,180,37.1033
Singapore_72,Singapore,0.699367,44185,43255,26837,24510,28,129765,80511.1,3,0.997348,0.65,18745,2327,1.61177
Amsterdam_GE3T_119,Amsterdam,0.464408,35091,34347,11169,10569,29,120756,39267.5,3.51576,0.997161,0.65,23778,600,3.07521
Singapore_73,Singapore,0.0498788,9152,8360,301,216,43,25080,903,3,0.997071,0.65,8144,85,27.7741
Amsterdam_GE3T_120,Amsterdam,0.113625,19055,17923,1791,1120,70,63013,6296.73,3.51576,0.997101,0.65,16803,671,10.0073
Singapore_74,Singapore,0.18476,6810,5778,1020,628,70,17334,3060,3,0.997071,0.65,5150,392,5.66471
